Nom;Aspect;Curvature;DEM;Density_river;Density_road;Distance_river;Distance_road;Flow_direction;NDBI;NDVI;NDWI;Slope;TWI_final;Rainfall
Yes;0,127541;0,527473;0,0011;0,614782;0,108773;0,046684;0,009211;0,5;0,313267;0,873338;0,686732;0,013862;0,43846;0,813213
Yes;0;0,527473;0,0011;0,660612;0,101838;0,070569;0,001618;0,248031;0,339397;0,863653;0,660603;0;0,480907;0,811858
Yes;0;0,527473;0,00055;0,257649;0,110643;0,105563;0,006183;0,059055;0,510757;0,698185;0,489243;0;0,596508;0,84839
Yes;0;0,527473;0,00055;0,261908;0,1052;0,10253;0,000724;0,059055;0,374657;0,845052;0,625343;0;0,495642;0,851515
Yes;0;0,527473;0,00055;0,297354;0,100012;0,106816;0,002984;0,059055;0,348065;0,874342;0,651936;0;0,427538;0,854983
Yes;0,552959;0,538462;0,0011;0,320143;0,094646;0,111381;0,002984;0,011811;0,343007;0,875322;0,656993;0,030983;0,361774;0,857692
Yes;0,501845;0,538462;0,001649;0,361069;0,083231;0,094261;0,010685;0,011811;0,340884;0,874856;0,659116;0,039179;0,187632;0,861515
Yes;0;0,527473;0,00055;0,59021;0,144241;0,084555;0,002895;0,122047;0,434638;0,78222;0,565362;0;0,473343;0,784329
Yes;0;0,527473;0,00055;0,591236;0,12685;0,075628;0,014364;0,122047;0,302519;0,908731;0,697481;0;0,504729;0,786982
Yes;0;0,527473;0,00055;0,67582;0,144836;0,135942;0,005268;0;0,473404;0,799132;0,526596;0;0,520257;0,788884
Yes;0,626614;0,527473;0,001649;0,588393;0,150339;0,011322;0,009408;0,011811;0,304092;0,88123;0,695909;0,013862;0,23471;0,785171
Yes;0,700269;0,538462;0,001649;0,605082;0,140873;0,091555;0,003618;0,059055;0,308031;0,895326;0,691969;0,030983;0,482221;0,788322
Yes;0;0,527473;0,003299;0,762429;0,137636;0,040944;0,006827;0,248031;0,518756;0,718653;0,481244;0;0,458924;0,795995
Yes;0;0,527473;0,00055;0,383787;0,14469;0,047832;0,009408;0,059055;0,390157;0,836882;0,609843;0;0,602825;0,827175
